Date,Time,Duration,Class Name,Instructor
THU JUNE 13, 2024,12:30 pm - 1:30 pm,1 hour,Vinyasa Flow,Emilie Dittberner
THU JUNE 13, 2024,5:45 pm - 6:45 pm,1 hour,Tantric Hatha Yoga,Sophie Billon
THU JUNE 13, 2024,7:00 pm - 8:00 pm,1 hour,Jivamukti Open,Magali Lehners (sub for Alexandra Colombo)
THU JUNE 13, 2024,8:15 pm - 9:15 pm,1 hour,Jivamukti Open,Nastassia Salash
FRI JUNE 14, 2024,12:30 pm - 1:30 pm,1 hour,Jivamukti Open,Alexandra Colombo
FRI JUNE 14, 2024,6:30 pm - 8:00 pm,1.5 hours,Yoga in the Forest with Magali & Sophie,Magali & Sophie
SAT JUNE 15, 2024,10:00 am - 11:30 am,1.5 hours,Jivamukti Open,Tina Depandrioti (sub for Magali Lehners)
SAT JUNE 15, 2024,2:15 pm - 4:15 pm,2 hours,Asana Clinic: Ashtanga Style with Gillian,Gillian Cahill
SUN JUNE 16, 2024,10:00 am - 11:30 am,1.5 hours,Jivamukti Open,Tina Depandrioti (sub for Magali Lehners)
SUN JUNE 16, 2024,5:00 pm - 6:00 pm,1 hour,Spiritual Warrior,Nadine Dupont (sub for Teacher Rotation)
SUN JUNE 16, 2024,6:15 pm - 7:15 pm,1 hour,Yin Yoga,Nadine Dupont
MON JUNE 17, 2024,12:30 pm - 1:30 pm,1 hour,Jivamukti Open,Alexandra Colombo
MON JUNE 17, 2024,5:00 pm - 6:00 pm,1 hour,Senior (in luxembourgish),Magali Lehners
MON JUNE 17, 2024,6:30 pm - 8:00 pm,1.5 hours,Jivamukti Open,Magali Lehners
MON JUNE 17, 2024,8:15 pm - 9:45 pm,1.5 hours,Jivamukti Basics Class,Tina Depandrioti (sub for Teacher Rotation)
TUE JUNE 18, 2024,12:30 pm - 1:30 pm,1 hour,Beginner Vinyasa,Alexandra Colombo
TUE JUNE 18, 2024,6:30 pm - 8:00 pm,1.5 hours,Jivamukti Open,Alexandra Colombo
TUE JUNE 18, 2024,8:15 pm - 9:15 pm,1 hour,Jivamukti Open,Veronica Codoni
WED JUNE 19, 2024,10:15 am - 11:15 am,1 hour,Senior (in luxembourgish),Magali Lehners
WED JUNE 19, 2024,12:30 pm - 1:30 pm,1 hour,Jivamukti Open,Tina Depandrioti
WED JUNE 19, 2024,5:30 pm - 6:45 pm,1.25 hours,Jivamukti Medium,Nadine Dupont
WED JUNE 19, 2024,7:00 pm - 8:00 pm,1 hour,Jivamukti Open,Jeremy Buchet
WED JUNE 19, 2024,8:15 pm - 8:45 pm,0.5 hours,Meditation - Free Class,Jeremy Buchet
THU JUNE 20, 2024,12:30 pm - 1:30 pm,1 hour,Vinyasa Flow,Emilie Dittberner
THU JUNE 20, 2024,5:45 pm - 6:45 pm,1 hour,Tantric Hatha Yoga,Sophie Billon
THU JUNE 20, 2024,7:00 pm - 8:00 pm,1 hour,Jivamukti Open,Magali Lehners (sub for Alexandra Colombo)
THU JUNE 20, 2024,8:15 pm - 9:15 pm,1 hour,Jivamukti Open,Nastassia Salash
FRI JUNE 21, 2024,12:30 pm - 1:30 pm,1 hour,International Yoga Day: Remembering our inner goodness,Alexandra Colombo
SAT JUNE 22, 2024,10:00 am - 11:30 am,1.5 hours,Jivamukti Open,Nadine Dupont (sub for Magali Lehners)
SUN JUNE 23, 2024,10:00 am - 11:30 am,1.5 hours,Jivamukti Open,Nadine Dupont (sub for Magali Lehners)
SUN JUNE 23, 2024,5:00 pm - 6:00 pm,1 hour,Spiritual Warrior,Tina Depandrioti (sub for Teacher Rotation)
SUN JUNE 23, 2024,6:15 pm - 7:15 pm,1 hour,Yin Yoga,Nadine Dupont
MON JUNE 24, 2024,12:30 pm - 1:30 pm,1 hour,Jivamukti Open,Tina Depandrioti (sub for Alexandra Colombo)
MON JUNE 24, 2024,5:00 pm - 6:00 pm,1 hour,Senior (in luxembourgish),Magali Lehners
MON JUNE 24, 2024,6:30 pm - 8:00 pm,1.5 hours,Jivamukti Open,Magali Lehners
MON JUNE 24, 2024,8:15 pm - 9:45 pm,1.5 hours,Jivamukti Basics Class,Nastassia Salash (sub for Teacher Rotation)
TUE JUNE 25, 2024,12:30 pm - 1:30 pm,1 hour,Beginner Vinyasa,Alexandra Colombo
TUE JUNE 25, 2024,6:30 pm - 8:00 pm,1.5 hours,Jivamukti Open,Alexandra Colombo
TUE JUNE 25, 2024,8:15 pm - 9:15 pm,1 hour,Jivamukti Open,Veronica Codoni
WED JUNE 26, 2024,10:15 am - 11:15 am,1 hour,Senior (in luxembourgish),Magali Lehners
WED JUNE 26, 2024,12:30 pm - 1:30 pm,1 hour,Jivamukti Open,Tina Depandrioti
WED JUNE 26, 2024,5:30 pm - 6:45 pm,1.25 hours,Jivamukti Medium,Nadine Dupont
WED JUNE 26, 2024,7:00 pm - 8:00 pm,1 hour,Jivamukti Open,Jeremy Buchet
WED JUNE 26, 2024,8:15 pm - 8:45 pm,0.5 hours,Meditation - Free Class,Jeremy Buchet
THU JUNE 27, 2024,12:30 pm - 1:30 pm,1 hour,Vinyasa Flow,Emilie Dittberner
THU JUNE 27, 2024,5:45 pm - 6:45 pm,1 hour,Tantric Hatha Yoga,Sophie Billon
THU JUNE 27, 2024,7:00 pm - 8:00 pm,1 hour,Jivamukti Open,Magali Lehners (sub for Alexandra Colombo)
THU JUNE 27, 2024,8:15 pm - 9:15 pm,1 hour,Jivamukti Open,Nastassia Salash
FRI JUNE 28, 2024,12:30 pm - 1:30 pm,1 hour,Jivamukti Open,Alexandra Colombo
FRI JUNE 28, 2024,6:30 pm - 8:30 pm,2 hours,Kundalini with Carol Issa: Women Healing and Empowerment,Carol Issa
SAT JUNE 29, 2024,10:00 am - 12:00 pm,2 hours,Jivamukti Open XL with Carol Issa,Carol Issa
SUN JUNE 30, 2024,10:00 am - 11:30 am,1.5 hours,Jivamukti Open,Alexandra Colombo (sub for Magali Lehners)
SUN JUNE 30, 2024,5:00 pm - 6:00 pm,1 hour,Spiritual Warrior,Nastassia Salash (sub for Teacher Rotation)
SUN JUNE 30, 2024,6:15 pm - 7:15 pm,1 hour,Yin Yoga,Nadine Dupont
MON JULY 1, 2024,12:30 pm - 1:30 pm,1 hour,Jivamukti Open,Nastassia Salash (sub for Alexandra Colombo)
MON JULY 1, 2024,5:00 pm - 6:00 pm,1 hour,Senior (in luxembourgish),Magali Lehners
MON JULY 1, 2024,6:30 pm - 8:00 pm,1.5 hours,Jivamukti Open,Nastassia Salash (sub for Magali Lehners)
MON JULY 1, 2024,8:15 pm - 9:45 pm,1.5 hours,Jivamukti Basics Class,Nadine Dupont (sub for Teacher Rotation)
TUE JULY 2, 2024,12:30 pm - 1:30 pm,1 hour,Beginner Vinyasa,Alexandra Colombo
TUE JULY 2, 2024,6:30 pm - 8:00 pm,1.5 hours,Jivamukti Open,Alexandra Colombo
TUE JULY 2, 2024,8:15 pm - 9:15 pm,1 hour,Jivamukti Open,Veronica Codoni
WED JULY 3, 2024,10:15 am - 11:15 am,1 hour,Senior (in luxembourgish),Magali Lehners
WED JULY 3, 2024,12:30 pm - 1:30 pm,1 hour,Jivamukti Open,Tina Depandrioti
WED JULY 3, 2024,5:30 pm - 6:45 pm,1.25 hours,Jivamukti Medium,Nadine Dupont
WED JULY 3, 2024,7:00 pm - 8:00 pm,1 hour,Jivamukti Open,Francesca Matteucci (sub for Jeremy Buchet)
WED JULY 3, 2024,8:15 pm - 8:45 pm,0.5 hours,Meditation - Free Class,Francesca Matteucci (sub for Jeremy Buchet)
THU JULY 4, 2024,12:30 pm - 1:30 pm,1 hour,Vinyasa Flow,Emilie Dittberner
THU JULY 4, 2024,5:45 pm - 6:45 pm,1 hour,Tantric Hatha Yoga,Sophie Billon
THU JULY 4, 2024,7:00 pm - 8:00 pm,1 hour,Jivamukti Open,Alexandra Colombo
THU JULY 4, 2024,8:15 pm - 9:15 pm,1 hour,Jivamukti Open,Nastassia Salash
FRI JULY 5, 2024,12:30 pm - 1:30 pm,1 hour,Jivamukti Open,Alexandra Colombo
SAT JULY 6, 2024,10:00 am - 11:30 am,1.5 hours,Jivamukti Open,Veronica Codoni (sub for Magali Lehners)
SUN JULY 7, 2024,10:00 am - 11:30 am,1.5 hours,Jivamukti Open,Nadine Dupont (sub for Magali Lehners)
SUN JULY 7, 2024,5:00 pm - 6:00 pm,1 hour,Spiritual Warrior,Nastassia Salash (sub for Teacher Rotation)
SUN JULY 7, 2024,6:15 pm - 7:15 pm,1 hour,Yin Yoga,Nadine Dupont
MON JULY 8, 2024,12:30 pm - 1:30 pm,1 hour,Jivamukti Open,Alexandra Colombo
MON JULY 8, 2024,5:00 pm - 6:00 pm,1 hour,Senior (in luxembourgish),Magali Lehners
MON JULY 8, 2024,6:30 pm - 8:00 pm,1.5 hours,Jivamukti Open,Magali Lehners
MON JULY 8, 2024,8:15 pm - 9:45 pm,1.5 hours,Jivamukti Basics Class,Veronica Codoni (sub for Teacher Rotation)
TUE JULY 9, 2024,12:30 pm - 1:30 pm,1 hour,Beginner Vinyasa,Alexandra Colombo
TUE JULY 9, 2024,6:30 pm - 8:00 pm,1.5 hours,Jivamukti Open,Alexandra Colombo
TUE JULY 9, 2024,8:15 pm - 9:15 pm,1 hour,Jivamukti Open,Veronica Codoni
WED JULY 10, 2024,10:15 am - 11:15 am,1 hour,Senior (in luxembourgish),Magali Lehners
WED JULY 10, 2024,12:30 pm - 1:30 pm,1 hour,Jivamukti Open,Tina Depandrioti
WED JULY 10, 2024,5:30 pm - 6:45 pm,1.25 hours,Jivamukti Medium,Nadine Dupont
WED JULY 10, 2024,7:00 pm - 8:00 pm,1 hour,Jivamukti Open,Jeremy Buchet
WED JULY 10, 2024,8:15 pm - 8:45 pm,0.5 hours,Meditation - Free Class,Jeremy Buchet